0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/fonts/ubuntu/Ubuntu-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/fonts/ubuntu/Ubuntu-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/images/icons/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "POST /new-jdbc-5-month-2024/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/admin-home HTTP/1.1" 200 8149
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/ckeditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/paging/jquery.twbsPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/ace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:59 +0700] "GET /new-jdbc-5-month-2024/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:03 +0700] "GET /new-jdbc-5-month-2024/admin-new?type=list&page=1&maxPageItem=4&sortName=createddate&sortBy=desc HTTP/1.1" 200 14616
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:06 +0700] "GET /new-jdbc-5-month-2024/admin-new?page=2&maxPageItem=4&sortName=createddate&sortBy=desc&type=list HTTP/1.1" 200 14706
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:07 +0700] "GET /new-jdbc-5-month-2024/admin-new?page=3&maxPageItem=4&sortName=createddate&sortBy=desc&type=list HTTP/1.1" 200 14786
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:09 +0700] "GET /new-jdbc-5-month-2024/admin-new?page=4&maxPageItem=4&sortName=createddate&sortBy=desc&type=list HTTP/1.1" 200 14451
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:12 +0700] "GET /new-jdbc-5-month-2024/admin-new?page=1&maxPageItem=4&sortName=createddate&sortBy=desc&type=list HTTP/1.1" 200 14616
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:13 +0700] "GET /new-jdbc-5-month-2024/admin-new?page=2&maxPageItem=4&sortName=createddate&sortBy=desc&type=list HTTP/1.1" 200 14706
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/admin-new?type=edit&id=55 HTTP/1.1" 200 20900
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/config.js?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/lang/vi.js?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/skins/moono-lisa/editor.css?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/styles.js?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/plugins/scayt/skins/moono-lisa/scayt.css?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/plugins/copyformatting/styles/copyformatting.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/plugins/scayt/dialogs/dialog.css?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/plugins/tableselection/styles/tableselection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/plugins/wsc/skins/moono-lisa/wsc.css?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/skins/moono-lisa/icons.png?t=e1836357e HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:15 +0700] "GET /new-jdbc-5-month-2024/ckeditor0/contents.css?t=J39A HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:23 +0700] "GET /new-jdbc-5-month-2024/admin-new?page=1&maxPageItem=4&sortName=createddate&sortBy=desc&type=list HTTP/1.1" 200 14616
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:25 +0700] "GET /new-jdbc-5-month-2024/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:25 +0700] "GET /new-jdbc-5-month-2024/trang-chu HTTP/1.1" 200 85665
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:25 +0700] "GET /new-jdbc-5-month-2024/template/web/fonts/fontawesome-5%20.0.8/css/fontawesome-all.min.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:25 +0700] "GET /new-jdbc-5-month-2024/template/web/images/icons/news24h-high-resolution-logo.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:27 +0700] "GET /new-jdbc-5-month-2024/dang-nhap?action=login HTTP/1.1" 200 4990
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:27 +0700] "GET /new-jdbc-5-month-2024/template/login/js/main.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:31 +0700] "POST /new-jdbc-5-month-2024/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:31 +0700] "GET /new-jdbc-5-month-2024/trang-chu HTTP/1.1" 200 85739
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:31 +0700] "GET /new-jdbc-5-month-2024/template/web/fonts/fontawesome-5%20.0.8/css/fontawesome-all.min.css HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [28/May/2024:19:52:31 +0700] "GET /new-jdbc-5-month-2024/template/web/images/icons/news24h-high-resolution-logo.png HTTP/1.1" 404 851
